State,Age_Bracket,Age_Lower,Age_Upper,Race,Deaths,Bracket_Median_Age,Bracket_Mean_Age,Life Expectancy,YLL (based on age bracket median),YLL (based on age bracket weighted mean),YLL (based on upper age in bracket)
Illinois,50_59,50.0,59.0,Hispanic,518.0,54.5,54.09,86.150090468,16394.746862424003,16607.126862424,14063.746862424001
Illinois,60_69,60.0,69.0,Hispanic,792.0,64.5,64.3,86.150090468,17146.871650656,17305.271650656003,13582.871650656001
Illinois,70_79,70.0,79.0,Hispanic,770.0,74.5,74.23,86.150090468,8970.56966036,9178.469660359999,5505.569660360002
Illinois,80+,80.0,,Hispanic,779.0,80.0,85.19,86.150090468,4790.920474572002,747.9104745720033,
Michigan,0_9,0.0,9.0,Hispanic,,4.5,4.58,81.890860797,,,
Michigan,10_19,10.0,19.0,Hispanic,,14.5,14.84,81.890860797,,,
Michigan,20_29,20.0,29.0,Hispanic,,24.5,24.46,81.890860797,,,
Michigan,30_39,30.0,39.0,Hispanic,,34.5,34.69,81.890860797,,,
Michigan,40_49,40.0,49.0,Hispanic,,44.5,44.3,81.890860797,,,
Michigan,50_59,50.0,59.0,Hispanic,,54.5,54.09,81.890860797,,,
Michigan,60_69,60.0,69.0,Hispanic,,64.5,64.3,81.890860797,,,
Michigan,70_79,70.0,79.0,Hispanic,,74.5,74.23,81.890860797,,,
Michigan,80+,80.0,,Hispanic,,80.0,85.19,81.890860797,,,
New Mexico,18_44,18.0,44.0,Hispanic,88.0,31.0,31.6,78.70737871,4198.24932648,4145.44932648,3054.24932648
New Mexico,45_64,45.0,64.0,Hispanic,353.0,54.5,53.14,78.70737871,8545.20468463,9025.28468463,5191.70468463
New Mexico,65_74,65.0,74.0,Hispanic,367.0,69.5,69.34,78.70737871,3379.1079865700003,3437.8279865699988,1727.60798657
New Mexico,75+,75.0,,Hispanic,661.0,75.0,81.49,78.70737871,2450.5773273100003,0.0,
South Dakota,0_9,0.0,9.0,Hispanic,0.0,4.5,4.58,91.315303331,0.0,0.0,0.0
South Dakota,10_19,10.0,19.0,Hispanic,0.0,14.5,14.84,91.315303331,0.0,0.0,0.0
